	Nutlin-3	Nilotinib	RAF265	PHA-665752	PD-0325901	PLX4720	PD-0332991	LBW242	AEW541	TAE684	TKI258	AZD0530	lapatinib	Crizotinib	Sorafenib	L-685458	AZD6244	Vandetanib	Erlotinib	17-AAG	Irinotecan	paclitaxel	Panobinostat	Topotecan
HEC-1-A	0.903089987	0.843142849	0.424390162	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.849467459	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.809578292	-0.227863605	-2.219355254	-1.330539017	0.082807205
HEC-151	0.903089987	0.865299035	-0.469136192	0.903089987	-1.086273863	0.903089987	0.903089987	0.903089987	0.903089987	0.248501599	0.551382944	0.131856382	0.903089987	0.903089987	0.867093691	0.903089987	-0.054866756	0.268015859	0.903089987	-0.739073448	-0.491552574	-2.407846346	-1.626215096	-0.651516139
HEC-251	0.903089987	0.903089987	-0.020488314	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.55820794	0.571217458	0.754724891	0.903089987	0.903089987	0.903089987	0.867020284	0.903089987	0.743983712	0.903089987	-0.04307147	0.370177204	-1.983162639	-0.973097795	0.328099774
HEC-265	0.903089987	0.903089987	-0.220481132	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.825583344	0.903089987	0.903089987	0.903089987	0.894807257	0.903089987	0.903089987	0.903089987	0.903089987	-1.348198599	-0.505609501	-2.397932409	-1.197902118	-0.387876805
HEC-59	0.903089987	0.903089987	-0.228200081	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.439000812	0.903089987	0.903089987	0.903089987	0.76440529	0.689964215	0.47333257	0.903089987	0.903089987	0.903089987	-0.625690592	-0.914314836	-2.594719566	-1.173150653	-0.926930725
HEC-6	0.903089987	0.309606228	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.250656499	-0.294824512	-2.118701697	-1.580008023	-0.076902858
HepG2	0.903089987	0.903089987	0.443117158	0.744730908	-1.6410793	0.672658246	0.903089987	0.903089987	0.471744765	-0.259482954	0.711840209	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.603887992	0.903089987	0.903089987	-1.647230462	-0.723528756	-2.00535217	-1.469487236	-0.367988922
Hey-A8	0.903089987	0.903089987	-0.498757816	0.903089987	-0.19631011	0.885315275	0.903089987	0.903089987	0.903089987	0.647940169	0.661910413	0.903089987	0.903089987	0.72855911	0.859941788	0.903089987	0.872597704	0.864513912	0.903089987	-1.076399985	-0.777214645	-1.925954165	-1.224835105	-1.172750368
HGC-27	0.903089987	0.770816637	0.363312171	0.903089987	0.903089987	0.903089987	0.24124963	0.903089987	0.737198752	0.050336798	0.373839859	0.903089987	0.903089987	0.519426263	0.903089987	0.815342539	0.903089987	0.680090351	0.903089987	-0.699364421	0.903089987	-2.602059991	-1.409897005	-0.617397862
HH	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.854148727	0.903089987	0.903089987	0.903089987	0.903089987	0.529323686	0.862016625	0.903089987	0.06137862	0.903089987	-0.500052108	-1.157090746	-1.980847596	-1.934453708	-0.830880554
HLF	0.903089987	0.903089987	0.794867554	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.874078778	0.728125453	0.581971972	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.631087861	-0.583212867	-1.053710071	-0.993365967	-0.40583659
HOS	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.863784567	-0.54678625	-2.246868704	-1.207949429	-0.280151409
HPAC	0.903089987	0.849567553	0.393614343	-1.262333702	-0.679830169	0.903089987	0.903089987	0.062312227	0.512821442	0.347026938	0.66961602	0.509986026	0.903089987	0.507637639	0.903089987	0.903089987	0.338039059	-0.342007259	0.903089987	-1.043375819	-0.140902957	-2.21590603	-1.313933557	-0.417445083
HPAF-II	0.903089987	0.695548855	0.903089987	0.903089987	-0.246660277	0.903089987	0.903089987	0.903089987	0.150890142	0.903089987	0.903089987	0.903089987	0.625603874	0.903089987	0.903089987	-0.011021393	0.597623592	0.685570441	0.903089987	-0.819212007	-0.218645825	-2.160318743	-0.42387643	-0.065427803
Hs294T	0.903089987	0.903089987	0.463091773	0.903089987	0.903089987	0.903089987	0.903089987	0.385768602	0.564505875	0.75808736	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.638880226	-0.488203441	-2.120876584	-1.149793617	-0.144038585
Hs683	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.835997612	0.548027182	0.651115828	0.903089987	0.903089987	0.783012216	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.841875241	-0.374146744	-2.125079703	-0.784453288	0.064754002
Hs695T	0.903089987	0.903089987	0.903089987	0.903089987	-0.623435596	0.861209385	0.903089987	0.903089987	0.780857308	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.019912033	-0.428699954	-1.013687473	-1.43124597	-0.075608569
Hs729	0.903089987	0.864618462	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.671283928	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.179341852	-0.316288811	-1.784110471	-0.948513172	-0.455532911
Hs746T	0.903089987	0.779349566	0.510195882	0.903089987	0.3010667	0.903089987	0.903089987	0.903089987	0.821720512	0.735564223	0.903089987	0.512801413	0.903089987	-0.989096175	0.903089987	0.888082343	0.903089987	0.903089987	0.903089987	-0.835157013	-0.445006099	-1.894177576	-1.375565278	-0.155353543
Hs766T	0.903089987	0.903089987	0.045346491	0.903089987	-1.765957258	0.903089987	0.903089987	0.903089987	0.903089987	0.723755588	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.181906276	0.903089987	0.903089987	-0.680490634	0.715082604	0.903089987	-0.872110677	0.903089987
Hs852.T	0.903089987	0.862543693	0.903089987	0.903089987	0.126979457	0.903089987	0.903089987	0.903089987	-0.030395547	-0.16880335	0.903089987	0.903089987	0.903089987	0.56382537	0.903089987	0.903089987	0.903089987	0.73140787	0.903089987	-1.36574475	0.882658384	-1.598221322	-1.186920721	0.761109553
Hs936.T	0.903089987	0.903089987	0.903089987	0.903089987	-1.370961892	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.565046284	0.819665686	0.903089987	-1.210057649	-0.06377993	-2.594719566	-1.595312532	0.377115594
Hs939.T	0.903089987	0.850041209	0.537579533	0.903089987	-1.37873424	0.322802575	0.903089987	0.347680741	0.903089987	0.903089987	0.859501452	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.305943586	0.786348015	0.903089987	-1.521805469	-0.202925863	-1.177540564	-1.282363834	0.780243552
Hs944.T	0.903089987	0.903089987	-0.452557411	0.903089987	-0.84266249	0.75269676	0.903089987	-0.746505561	0.903089987	0.757180038	0.648847515	0.903089987	0.903089987	0.715175981	0.903089987	0.903089987	0.070424798	0.903089987	0.903089987	-0.890217238	-1.049540346	-2.414858171	-1.252735504	-0.889449997
HSC-2	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.866466547	0.903089987	0.903089987	0.670489982	0.903089987	0.903089987	0.903089987	0.903089987	-0.301386928	-0.848033058	-2.003324054	-0.52330243	-0.94545761
HT-1080	0.782972214	0.883783267	0.031222835	0.903089987	-0.35062291	0.903089987	0.903089987	0.903089987	0.85130215	0.903089987	0.903089987	0.903089987	0.903089987	0.561543707	0.903089987	0.903089987	-0.131135836	0.673872477	0.903089987	-0.94497059	-0.515195982	-2.272467364	-1.375445168	-0.606930202
HT-1197	0.903089987	0.903089987	-0.024104276	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.522775375	0.697516428	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.67242474	0.903089987	0.287169879	0.485521492	0.903089987	-1.195693795	0.903089987
HT-1376	0.903089987	0.903089987	0.244545395	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.256147191	0.58269917	0.903089987	0.850281395	0.903089987	0.903089987	0.903089987	0.903089987	0.035139017	0.403301414	-0.437539749	0.431495329	-2.594719566	-0.993105758	0.903089987
HT-144	0.903089987	0.66589997	-0.468415644	0.903089987	-1.718269071	0.125912032	0.903089987	0.903089987	0.687469074	0.859428067	0.785891131	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.427225535	0.903089987	0.903089987	-1.098436088	-0.151744219	-1.660980504	-1.055658146	0.022416363
HT-29	0.903089987	0.903089987	-0.086403143	0.903089987	-1.930103866	0.224824314	0.903089987	0.903089987	0.138768095	-0.111201257	0.695534952	0.647032838	0.769742543	0.87552652	0.903089987	0.903089987	-1.010705275	0.903089987	0.903089987	-1.776398185	-0.521220922	-2.602059991	-1.320011344	-0.149602661
HuCCT1	0.903089987	0.903089987	0.593033402	0.903089987	0.229307569	0.903089987	0.903089987	0.903089987	0.903089987	0.675600425	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.036290645	0.145352903	-2.039497163	-1.029358917	-0.100740271
HuT78	0.903089987	-0.369601714	0.324643902	0.903089987	-1.767965353	0.903089987	0.903089987	-0.065760826	0.26069836	0.903089987	-0.242728742	0.903089987	0.903089987	-1.640879853	0.903089987	0.903089987	-1.038305462	-0.445129613	0.903089987	-0.600612275	-1.27489756	-2.094423912	-2.07356206	-0.767701052
IA-LM	0.903089987	0.903089987	0.411420667	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.818771684	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.036119752	0.903089987	-0.928892161	-0.107265042
IGR-37	0.903089987	0.903089987	0.078650795	0.903089987	-1.66075369	-0.043625197	0.903089987	0.903089987	-0.855828238	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.671110451	0.903089987	0.903089987	0.903089987	-0.568415381	-2.11824136	-1.28399167	-0.163312696
IPC-298	0.903089987	0.903089987	-0.900291276	0.903089987	-2.202683076	0.903089987	0.903089987	0.903089987	0.691231813	0.903089987	0.227679735	0.903089987	0.903089987	0.903089987	0.889023047	0.903089987	-1.125162259	0.903089987	0.845017535	-1.091003994	-0.454972506	-2.602059991	-1.267559669	-0.339194546
Ishikawa	0.903089987	0.890250172	0.137320018	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.478976148	-0.040053263	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.447240186	0.903089987	-1.009164149	-0.45847854	-2.449369957	-1.674610497	-0.283260343
IST-MES1	0.903089987	-0.049047721	0.903089987	0.578469431	0.903089987	0.903089987	0.903089987	0.903089987	0.813840587	0.335338407	-0.184980737	0.5912254	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.453057785	0.903089987	-0.150423275	-0.206677702	-0.907603278	-1.239892789	-0.843403018
IST-MES2	0.903089987	0.552078579	-0.829999885	0.903089987	0.903089987	0.564899506	-0.368802849	0.903089987	0.903089987	0.442069733	0.33504486	0.903089987	0.897055578	0.619812945	0.71604996	0.903089987	0.903089987	0.655959364	0.903089987	-0.873184814	-1.161708996	-2.222630967	-1.369253966	-1.403412261
J82	0.903089987	0.862138902	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.542783349	-0.579854455	-1.01510185	-0.805782217	-0.312468338
JHH-2	0.903089987	0.903089987	0.903089987	0.903089987	0.793986926	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.872457588	0.358835556	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.650795622	0.903089987	0.903089987	-0.071345462	-0.879963097	-1.096427921	0.903089987
JHH-4	0.903089987	0.903089987	0.903089987	0.903089987	0.43934109	0.692719566	0.903089987	0.903089987	0.870382754	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.514976343	0.903089987	0.903089987	-0.557280579	-0.956619097	-1.148145713	-0.943175935
JHH-5	0.903089987	0.797337953	0.432409341	0.903089987	-0.539494245	0.903089987	0.877225703	0.903089987	0.543450484	0.573372367	0.903089987	0.285201776	-0.244805575	0.903089987	0.903089987	0.903089987	-0.447172965	0.01028754	0.032697256	-1.740925626	-0.578583784	-2.045501525	-1.406761398	-1.038178709
JHH-6	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.650168482	0.490538495	-1.695512424	-0.755151869	0.903089987
JHH-7	0.903089987	0.852978053	0.437988042	0.903089987	-0.32202201	0.903089987	0.903089987	0.903089987	0.256781007	0.141616829	0.237246708	0.903089987	0.692385984	0.792172275	0.622108001	0.903089987	0.620226586	0.903089987	0.903089987	-1.054704118	-0.630684799	-2.520975645	-1.246584334	-0.012075484
JHOS-2	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.696862628	0.642716383	0.842542409	0.903089987	0.903089987	0.903089987	0.903089987	0.839693643	0.903089987	0.903089987	0.903089987	-0.838586178	-0.170512479	-1.61600765	-0.85201598	-0.231675986
JHOS-4	0.903089987	0.632222042	0.493020322	0.903089987	0.903089987	0.903089987	0.903089987	-0.483133077	0.538139939	0.668708679	0.903089987	0.903089987	0.869722274	0.903089987	0.903089987	0.903089987	0.903089987	0.256213923	0.903089987	0.196170017	-0.067141889	-2.056442867	-0.787048512	0.114703837
JHUEM-2	0.900824997	0.819789902	0.28052977	0.903089987	0.701979678	0.903089987	0.826010517	0.903089987	0.903089987	0.611026566	0.50660357	0.903089987	0.903089987	0.715289404	0.903089987	0.903089987	0.903089987	0.491152271	0.903089987	-1.316375338	-0.631124404	-2.181621008	-1.703391513	-1.079508916
JM1	0.903089987	0.886507873	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.048955804	-1.330221215	-1.82500707	-1.494645639	-0.752950247
JMSU-1	0.903089987	0.69997822	-0.682678899	0.903089987	0.152544818	0.701372564	0.903089987	0.903089987	0.396623173	-0.332096027	-0.454385408	0.903089987	0.903089987	0.781464444	0.588490069	0.692012417	0.70861118	0.352230744	0.484921059	-1.347898393	-0.800565044	-1.941378777	-1.252528692	-0.959414474
JVM-3	-0.565438795	0.36050211	-0.885900727	0.903089987	0.903089987	0.571370894	-0.361310721	0.903089987	0.881497528	0.114103402	0.133837831	0.903089987	0.903089987	0.695294801	0.844297026	-0.537708282	0.903089987	0.43337671	0.599024451	-1.117209798	-1.722792356	-2.594719566	-1.774410069	-1.769733342
K029AX	0.903089987	0.903089987	-0.150790204	0.894880652	-1.095780802	0.324403725	0.903089987	0.903089987	0.651602856	0.724135864	0.685741132	0.903089987	0.809184695	0.88396601	0.903089987	0.903089987	-0.338047031	0.766239991	0.903089987	-0.92366835	-0.472905608	-2.594719566	-1.346303884	-0.17328662
KALS-1	0.903089987	0.903089987	-0.536879014	0.903089987	0.47225846	0.903089987	0.903089987	0.903089987	0.903089987	0.480337709	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.046938436	-0.017939772	-2.276110086	-0.871323437	-0.302147479
KARPAS-620	0.903089987	0.903089987	0.621247352	0.903089987	-1.804445348	0.903089987	0.010160767	0.903089987	-0.287563482	-0.314803397	0.903089987	0.903089987	0.903089987	0.804314455	0.306551773	0.245632842	-1.034936349	0.903089987	0.903089987	-0.254485978	0.3342109	-2.496224293	-1.625874865	0.060244027
KCI-MOH1	0.903089987	0.689052465	0.528342116	0.903089987	-0.405936641	0.903089987	0.903089987	0.903089987	0.247374108	0.196049944	0.576608063	0.510793286	0.749667874	0.720339768	0.903089987	0.903089987	0.288991187	0.903089987	0.238087344	-0.866079607	-0.22790721	-2.594719566	-1.151228008	0.315363801
KCL-22	0.903089987	-1.861800629	0.159216374	0.903089987	-1.264784319	0.903089987	0.608151118	0.903089987	0.834910157	0.35527298	0.698937449	-0.258568961	0.892525593	0.100640206	0.557727587	0.755852388	-0.316437917	0.223943673	0.903089987	-0.96776724	-0.888022317	-2.602059991	-1.828296124	-1.046311318
KE-39	0.903089987	0.680497302	0.843823351	0.903089987	0.779015981	0.903089987	0.549228041	0.903089987	0.543243674	0.194875751	0.903089987	0.903089987	0.608104404	0.76379818	0.903089987	0.903089987	0.903089987	0.34543247	0.903089987	-0.902112598	-0.514037169	-2.173595129	-1.231700136	0.387256355
KE-97	0.583873358	0.903089987	-0.544437879	0.903089987	0.903089987	0.738446332	0.903089987	0.903089987	0.903089987	0.26900994	0.167862684	0.87567996	0.903089987	0.844317032	0.656926742	0.763804851	0.903089987	0.903089987	0.756659648	-0.908003578	-1.573770113	-2.594719566	-2.002716915	-1.407268444
KG-1	0.903089987	0.903089987	-0.361617601	0.903089987	-0.430083057	0.903089987	0.903089987	0.903089987	0.421700124	-0.12315668	-0.341142631	0.903089987	0.903089987	0.254718667	0.903089987	0.903089987	0.147034127	-0.128500578	0.903089987	-1.327070461	-0.600634583	-1.26920087	-1.730331205	-0.589464113
KHM-1B	0.903089987	0.365830605	0.903089987	0.523716073	0.903089987	0.903089987	0.903089987	0.903089987	-0.608004327	-0.990457164	0.903089987	0.903089987	0.903089987	0.51399564	0.603707868	0.623375576	0.903089987	0.903089987	0.903089987	-0.775520097	-1.144809961	-2.594719566	-1.723899845	-1.354443169
KLE	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.586982297	0.903089987	-0.032603544	-0.007352042	0.903089987	-1.204653694	0.892612343
KMBC-2	0.903089987	0.903089987	0.613261502	0.903089987	0.059009806	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.784133047	0.903089987	0.903089987	-1.21185229	-0.078724185	-1.58343719	-1.263650149	0.002068172
KMM-1	0.903089987	0.464946447	0.635310965	-0.142147532	0.052725195	0.903089987	0.870522843	0.903089987	0.147881402	-0.268736368	0.903089987	0.903089987	0.507437511	0.569923186	0.446753164	0.700698765	0.903089987	0.903089987	0.903089987	-0.720486532	-0.70254007	-2.602059991	-1.727782694	-0.638539989
KMRC-1	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.828792349	0.267935803	0.599918429	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.508958614	-0.338734205	-0.832755266	-0.694267382	0.114603763
KMRC-2	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.316471287	0.448320964	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.514722821	0.903089987	0.357060925	0.459869408	-1.798867958	-0.778048587	0.903089987
KMS-11	0.903089987	0.625463744	0.903089987	0.903089987	0.903089987	0.903089987	0.393427522	0.903089987	-0.55355122	-0.591011886	0.097557963	0.903089987	0.89186511	0.776147201	0.698010128	0.903089987	0.903089987	0.903089987	0.903089987	-1.474117308	-0.379170425	-2.602059991	-1.726841993	-0.111554861
KMS-12-BM	0.903089987	0.903089987	-0.314147863	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.73508367	0.256594202	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.903366849	-0.905317493	-2.578077378	-2.411855966	-0.571484317
KMS-26	0.903089987	0.778248743	0.903089987	0.856078976	0.903089987	0.903089987	0.22332988	0.903089987	-0.186136013	-0.109106389	0.637512552	0.903089987	0.828158557	0.458835312	0.856952946	0.84244232	0.903089987	0.516257288	0.903089987	-0.624856657	-1.082077453	-2.452932675	-2.346361411	-1.169948322
KMS-34	0.903089987	0.544004227	-0.046969739	0.903089987	0.903089987	0.903089987	0.177443024	0.903089987	-0.314876776	-0.561203466	0.763771495	0.903089987	0.711012943	0.684800447	0.574333069	0.024778131	0.903089987	0.903089987	0.903089987	-0.765873031	-1.393765245	-1.836095174	-1.870273478	-1.225222069
KNS-42	0.903089987	0.903089987	0.763838205	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.798129945	0.729920091	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.126679237	-2.299620568	-0.693793682	0.172492738
KNS-60	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.142444098	0.903089987	0.84775288	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.256004567	-0.360136527	-2.334025696	-1.400963809	-0.806756226
KNS-62	0.903089987	0.818664236	0.903089987	0.903089987	0.077323168	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.23896798	-0.528684558	-2.096910013	-1.098749634	0.229183186
KP-2	0.903089987	0.903089987	0.631334717	0.903089987	-1.472576148	0.903089987	0.903089987	0.903089987	0.843216245	0.114430277	0.903089987	0.903089987	0.903089987	0.716737152	0.903089987	0.903089987	-0.385281572	0.649588999	0.903089987	-1.418176395	0.203768931	-2.015366174	-1.068781088	0.163205953
KP-3	0.903089987	0.903089987	0.395215483	0.903089987	0.339047777	0.903089987	0.903089987	0.903089987	0.903089987	0.34901507	0.903089987	0.545885602	0.903089987	0.903089987	0.712347259	0.903089987	0.903089987	0.903089987	0.903089987	-0.777935171	0.328993747	-1.560793965	-0.783839491	-0.121875726
KU812	0.903089987	-1.774116537	0.043338343	0.903089987	-1.375805442	0.903089987	0.796095137	0.903089987	0.903089987	0.903089987	0.363885938	-0.32634517	0.903089987	0.276608819	0.903089987	0.903089987	-0.742802849	-0.344405028	0.704588245	-0.887361831	-0.347187044	-2.602059991	-1.485225424	-0.50831147
KURAMOCHI	0.903089987	0.903089987	0.861949925	0.599918429	0.903089987	0.903089987	0.903089987	0.903089987	0.46684784	0.046033637	0.903089987	0.903089987	0.903089987	0.903089987	-0.232693754	0.903089987	0.903089987	0.344138173	0.903089987	-0.477672135	0.265267198	-1.251661376	-0.926997454	-0.060470867
KYM-1	0.903089987	0.839609753	0.332674509	0.903089987	0.287390041	0.903089987	0.826969013	-1.204647029	0.903089987	0.113467082	-0.109645925	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-1.053082945	-0.769600707	-2.33302494	-1.875877581	-0.294635324
KYSE-140	0.903089987	0.835789764	0.635293846	0.903089987	0.323296274	0.832843395	0.903089987	0.903089987	0.292927407	0.782654348	0.267141901	0.178355546	-0.161824919	0.903089987	0.903089987	0.903089987	0.903089987	0.161047662	-0.209266249	-0.016834717	-0.49591866	-1.59534551	-0.929759474	0.030191858
KYSE-150	0.903089987	0.865651496	0.817897729	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.716463615	-1.092024729	-0.44003964	-1.793037006	-0.736758414	0.584460464
KYSE-180	0.903089987	0.811470683	0.541133455	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.557847689	0.411390632	0.707216838	0.474728368	-0.057375263	0.903089987	0.903089987	0.903089987	0.903089987	0.662670972	0.21232184	-1.122773844	-0.519692508	-2.095032496	-0.987628437	-0.364742294
KYSE-30	0.903089987	0.903089987	0.903089987	0.903089987	-1.075152408	0.903089987	0.903089987	0.903089987	0.903089987	0.604048135	0.903089987	0.903089987	0.895361002	0.903089987	0.903089987	0.903089987	-0.218833243	0.903089987	0.903089987	-0.090719635	-0.103322179	-2.144026859	-0.891071191	-0.190772729
KYSE-410	0.903089987	0.710018906	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.356667306	0.903089987	0.903089987	0.903089987	0.580751084	0.903089987	0.903089987	0.903089987	0.903089987	0.781317648	0.690684752	-0.569856442	-0.853840277	-1.620724421	-1.871234159	0.550222105
KYSE-450	0.903089987	0.822188575	0.545983949	0.903089987	0.797449455	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.593453694	0.41070015	0.903089987	0.903089987	0.903089987	0.903089987	0.333837293	0.146447011	-0.148621949	-0.537140448	-1.863828766	-0.7627174	0.661890385
KYSE-510	0.903089987	0.799931682	0.580093985	0.903089987	0.903089987	0.903089987	0.851514518	0.903089987	0.697009393	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	-0.755859066	-0.519155553	-2.594719566	-0.81580954	-1.104500498
KYSE-520	0.903089987	0.813180959	0.640448063	0.903089987	0.462284528	0.903089987	0.903089987	0.903089987	0.711673434	0.537019126	0.903089987	0.687182206	0.576688123	0.903089987	0.903089987	0.903089987	0.903089987	0.517464835	0.332736487	-1.097455346	0.354298944	-2.217914185	-0.824676015	0.62694486
KYSE-70	0.903089987	0.855456679	0.628879772	0.903089987	-0.193234558	0.903089987	0.842435957	0.903089987	0.099512747	0.519119369	0.306343893	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.542436416	0.438433756	-1.219277708	-0.448876232	-2.12655407	-1.303926231	0.20241461
L-363	0.903089987	0.903089987	-0.402700967	0.650228506	0.903089987	0.903089987	-0.049682964	-1.044103026	-0.22322312	-0.731467887	-0.252642545	0.864651899	0.903089987	0.187477004	0.686081392	0.754297933	0.903089987	0.903089987	0.903089987	-1.62500088	-1.298008599	-2.493422185	-2.082168341	-1.50648762
L-428	0.903089987	0.81625652	-0.399798833	0.903089987	0.903089987	0.903089987	0.647226326	0.903089987	0.903089987	0.903089987	0.71749768	0.903089987	0.903089987	0.903089987	0.766753675	0.903089987	0.903089987	0.903089987	0.903089987	0.098305198	-0.431435284	-0.992618724	-1.234342046	-0.426831937
L3.3	0.903089987	0.903089987	0.279711083	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.327272534	0.903089987	0.903089987	0.903089987	0.903089987	0.903089987	0.630407358	-0.803213655	-1.1299391	-2.271246526	-1.183144651	-0.594214272
