	AICAR	AKT inhibitor VIII	AS601245	AZD6482	AZD7762	AZD8055	BIBW2992	BMS-708163	Axitinib	BAY 61-3606	BMS-754807	BX-795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin 1	CCT018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	LAQ824	NVP-BEZ235	Docetaxel	BIRB 0796	Doxorubicin	EHT 1864	Elesclomol	embelin	Epothilone B	etoposide	FH535	FTI-277	GSK-1904529A	GSK-650394	GW 441756	Gefitinib	Gemcitabine	IPA-3	JNK Inhibitor VIII	JNK-9L	KU-55933	LFM-A13	lenalidomide	CEP-701	OSI-906	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	AMG-706	NSC-87877	NU-7441	ABT-263	Nilotinib	Nutlin-3	OSU-03012	Obatoclax Mesylate	AZD-2281	pac-1	PD-0325901	PD173074	PF-4708671	PF-562271	PLX4720	PD-0332991	Pazopanib	GDC-0449	AP-24534	QS11	RO-3306	RDEA119	AG-014699	SB 216763	SB590885	SL 0101-1	Camptothecin	GDC-0941	AZD6244	JNJ-26854165	shikonin	TW 37	17-AAG	temsirolimus	thapsigargin	Tipifarnib	ATRA	VX-702	ABT-888	Vinblastine	Vinorelbine	AUY922	Vorinostat	681640	ZM-447439
EW-13	3.474553025	2.216518302	2.748971588	1.523556732	1.187056239	0.0805043	1.261602887	2.648825886	2.220292755	0.168299969	-0.041434299	1.429607535	-0.314169497	2.097874695	-0.534491865	1.961856703	-1.647324136	2.705873941	2.787546493	2.508426732	2.736657168	1.791145966	2.110828831	1.591600246	-2.038399369	-1.217955857	-0.573937095	2.667806727	-2.016532207	3.161005872	-1.354023358	0.985547508	-3.04440345	-1.051321407	0.780929228	2.092434288	1.745282297	0.479371209	1.551814963	1.46026004	-4.94998384	0.623402368	3.056301381	-0.527171397	2.926639724	1.706012956	2.338481221	0.312744577	1.803602834	1.350142937	0.860901083	-0.361028134	-1.279788968	2.307789196	0.713382973	2.098292052	-0.179628106	0.836687428	2.8450701	0.297589871	-1.355999832	1.792885749	1.892099889	1.31542891	1.844408275	3.03669646	0.213427943	2.78205397	2.196106461	1.198807813	2.178350766	-0.1753629	-0.384216854	2.804178234	2.338631921	2.339860975	2.787187331	2.492018652	2.999371889	-0.275406109	0.190132387	2.301458485	2.727453165	-0.573909735	1.120455877	1.845828853	-0.351763764	-2.636543604	0.811368494	2.71457894	0.924021009	2.115988684	-0.234992836	-2.179333574	-2.285724865	0.117948301	2.042069157	1.867054127
EW-16	4.712312276	0.862152285	0.700105722	2.148741152	-0.269427176	0.157884719	1.436078523	1.364286605	0.760108282	0.225409259	-1.678725365	0.634545062	1.550807399	1.916342642	-2.164118067	0.15828123	-0.609974851	1.947105891	3.051160637	1.855770287	0.907650278	1.391640209	-0.575311637	2.575791452	-1.881463149	-1.743733603	-2.773532678	1.948875207	-2.718511476	1.801895188	-2.793501104	0.630709373	-2.973277305	-1.667929238	0.662269553	1.443610058	0.963541806	0.759436429	1.765488282	0.597230914	-4.638519129	1.394942584	2.277732543	-0.345974185	2.225178568	1.937823715	1.584200736	-0.646678381	-0.726384013	0.507692421	-0.048296152	-0.502649828	-3.508706377	0.650895815	3.014976958	1.859433127	-0.089759984	2.00231992	1.665709125	0.124568252	-1.407914526	0.864428857	0.840457973	0.058868617	1.124460941	2.233066659	0.309593336	1.670065967	-0.219308725	1.644531623	1.839429958	0.975361999	0.918339568	2.156739838	1.212424682	1.57284133	1.958126114	1.244732717	2.471362304	-3.915611643	0.267598797	1.178831136	0.757466469	-0.524111358	-0.73217533	0.262154915	-1.544140979	-3.22297926	0.555498689	2.049553788	0.924015797	2.47953008	-2.106101101	-2.361755062	-2.125517539	0.240814987	0.481467549	0.508733425
EW-18	3.818890788	1.307698469	1.270055994	1.260800404	-0.036262721	-0.639098639	1.218787531	2.79519051	0.713090259	0.660839855	-1.145275807	0.521747059	2.43882887	2.110094005	1.87995441	0.979571616	-0.26542689	2.092920264	2.586561521	2.323794685	2.826508354	1.697537699	0.845716845	3.178066697	-1.379866051	-1.595656991	-2.207906242	3.061941998	-0.600502889	2.611862214	-1.114857387	1.021553126	-2.580275108	1.514997648	0.981336589	1.145253658	2.251626668	1.909037374	2.297653631	1.00092935	-1.138155114	1.793930228	3.064300217	-0.066967341	1.656921176	2.982549058	1.680489903	-0.356435036	-0.568618291	-0.129854919	0.191651983	-0.491696921	0.595364316	2.130120626	2.766055865	1.403907291	-1.41335667	1.044817847	2.048721246	0.553293341	-0.885201162	1.598660137	1.756116641	1.252567824	1.726848233	2.421876619	0.484755158	1.789760566	1.659095254	2.525283872	1.437624177	1.204064079	1.258136782	2.259156031	2.014620443	1.639700531	2.412176217	2.288080044	2.36851225	-0.665672684	-0.860244864	1.65875607	1.921842547	-0.276859692	-0.185552752	1.366710837	-0.755742754	-2.675207973	-0.339221774	2.343932485	1.130111112	2.163449253	-2.156011092	-2.152083332	-0.974520337	-0.19306344	1.188139804	0.654567775
EW-22	3.856425123	1.271571418	1.652142256	1.388847695	-0.233771165	-0.164665793	1.621899669	2.466423941	1.561187906	0.502367247	-0.821593668	0.592587438	1.895541611	2.009225194	0.561789571	1.150763118	-0.370332963	2.310001492	1.62944597	2.343325074	1.54127811	0.317239524	-0.175473645	2.813861775	-1.387191328	-1.33537041	-1.806724109	2.478034804	-1.011249352	1.364173689	-1.126808303	1.236775014	-2.046541098	0.273995286	1.123929019	1.636653481	1.507936172	2.149911994	1.78798213	1.479962243	-1.831852811	1.717558404	2.616563452	-0.174150325	2.097964594	2.422471254	2.640982528	-0.06426212	0.090703816	0.792145752	-0.661633746	0.309589716	-1.147062973	1.471907818	2.510225467	1.329926095	-0.330956716	2.320578734	2.913741612	1.111664339	-0.721264794	0.63934749	1.327338443	1.348634198	2.031446314	1.822135483	1.106545664	2.152635755	0.865901984	2.07862825	3.142010266	0.642419992	1.390304407	2.597106625	1.985039777	0.70317575	2.684642587	2.651672252	2.648902757	-3.254478205	0.352310975	2.500892591	1.043744706	-0.157887158	-0.552691409	0.466632049	-0.506999721	-1.91805437	0.861726273	2.592108764	2.277173606	2.736301481	-1.532395919	-1.886612167	-1.270973592	0.285302377	1.033297318	0.503070659
EW-24	3.850551724	2.30502882	2.021946991	2.633920738	1.018830534	0.347418214	1.374442582	2.337159663	1.554217045	1.741516529	2.470165388	2.01185225	2.971571831	1.957853811	1.979236734	1.053897642	-0.071454037	2.728419036	2.456307486	2.505244656	2.198478578	2.030780975	1.456841274	3.359078031	0.314609437	-0.669962645	-0.259120065	2.846765151	-0.013050549	1.333557665	0.607307849	1.696300828	-1.162868642	2.316728713	2.68310171	1.931963346	2.322294631	2.50018556	2.016903963	1.162867339	1.768908351	3.070759913	2.438068854	2.031525356	2.348058717	3.240167767	2.26545417	0.679069801	2.662738944	2.617828118	0.152749621	1.328298793	-0.106256225	1.905398421	2.799735836	1.988188412	0.423977816	2.138342255	2.779500319	2.074715508	-0.468722743	2.247174281	1.694682213	1.267560973	2.148140373	1.260144091	2.472407216	2.522174758	2.710254669	2.696276467	2.367910318	1.664381487	2.364074195	2.500761869	2.57283825	2.6224894	2.368849263	2.613167269	2.836522316	-1.617875496	1.225328006	2.39530214	2.348562499	1.164135913	0.790902367	1.673076062	0.197608767	-0.825463087	2.018262002	2.321440374	2.116626662	2.287077692	-0.308272646	-0.56107503	-0.540451254	0.624452058	1.981512872	2.510185625
EW-3	3.370642424	0.751597413	1.662967424	1.544368797	0.510603497	0.413219039	1.474241282	2.761797173	1.613792694	0.692439122	0.54584606	1.223827953	2.295229834	1.974004354	1.267205285	0.851762224	0.006961741	2.564948422	2.483686713	2.246879395	2.484019382	0.388041685	-0.425933445	3.275535841	-0.784605097	-0.902705835	-1.47977984	2.704723929	-0.55300801	2.416563026	-0.988043833	1.748315844	-0.561100219	1.156358568	1.639786521	1.351277748	1.880000011	2.574553278	2.057168708	1.49264842	-0.23689852	1.470457274	3.002774586	0.62665784	3.113573966	2.627600612	2.5742167	-0.036841201	0.321896464	0.54237735	-0.916009144	0.812797323	-1.20797273	1.712696748	2.941496938	2.337445429	-1.666136905	2.119497349	2.050264294	1.318890672	0.53269128	1.214851086	1.666370121	1.167098236	2.217835083	3.03082697	2.379614989	2.822984054	1.18755698	2.724387915	2.273673627	1.137236582	1.590884094	2.122442734	2.751991238	1.480857759	3.064361018	2.343206779	3.064899978	-2.825973737	-0.075608498	2.032054761	1.469011074	-0.141760668	0.053061231	0.915452378	-0.560039238	-0.928162006	1.490776176	2.912050469	1.874448859	1.603507298	-1.833424534	-0.739372024	-0.757299266	-0.231660928	1.137829828	1.910094447
EW-7	3.610653098	1.549121903	1.72468675	0.132625875	-0.576077733	-0.093748978	1.182263799	2.728760826	1.374079077	0.296206643	-1.214620041	1.036650505	2.695288013	1.84965021	0.485531242	1.421850602	-0.107298532	3.020577186	1.931320156	2.455198732	2.516759106	0.451105153	-0.395459869	2.862765428	-1.55937907	-1.516151134	-0.972991186	3.077434585	-1.513875865	2.836203109	-0.198972017	1.365061821	-2.648732513	-0.902895188	2.158527394	1.803504249	1.789450046	2.673154195	2.345799952	1.148539095	-5.588682928	2.480037336	2.975326741	-0.250646546	2.131064782	1.643308215	2.5985411	0.158282098	-0.72397281	1.102221155	-1.062555302	-0.166244888	-1.915748961	2.344174822	3.325430197	1.737190522	-0.229599767	1.991879047	1.121216761	1.445339419	-2.755970678	1.701472841	1.009804592	1.313660898	1.194383655	2.371418983	1.304551571	2.451723073	1.996099955	2.830912968	2.133766528	0.565485725	2.262296849	2.592999937	2.164309156	2.442379227	2.782655902	2.281420572	2.530530584	-2.612801593	0.004045453	1.746891358	1.651809964	0.110895359	0.843726908	1.49825299	-0.508770774	-2.197598263	2.215133337	2.05331999	1.280873836	2.339236459	-1.052251232	-1.777331058	-2.122655104	-0.019410792	1.772490846	1.230735406
FADU	3.155003488	2.20080987	2.289356435	1.451972477	-0.641253609	0.44779192	-1.167126465	2.673539848	1.150796993	1.856969375	1.80947493	0.699123348	2.716111999	1.988563643	0.710771561	-0.047812782	-0.963506194	0.436042083	1.240163071	2.605394267	0.623674237	2.153883483	-0.122018075	1.99959342	-0.918427296	-0.113362586	-2.744079261	2.026104492	-0.990620936	2.397079707	-2.449308396	1.198070815	-1.581601484	0.107731523	0.630977333	1.18249745	1.948592047	2.202649542	0.572188626	-0.673340588	-0.976938923	3.232442537	2.435896513	-0.145672358	2.670137585	2.342815046	2.67318807	-0.564754373	2.357062511	1.019637019	1.130825092	0.073891297	-0.891811558	0.915878856	2.974749563	1.156963974	1.149552739	2.251789528	2.473511193	1.315727705	-0.370095334	2.504920238	2.356110537	-1.459834866	2.30070455	1.136695016	1.423494406	2.641637878	0.791905587	2.001727543	2.880291382	1.683974682	3.074718507	1.112336307	-0.114865679	0.89733535	2.839541097	2.117109163	2.645490939	-2.72056786	0.16854882	2.261109488	0.713184066	0.247086634	-0.279210962	-2.415676197	-0.510192654	-0.772686753	0.923452517	2.954920546	2.153014894	2.591225409	-1.78781927	-1.314110392	-1.171038155	0.166426857	0.786483855	1.94815037
FTC-133	5.066713511	1.240711585	2.359229206	1.747899828	-0.519057039	1.057099695	1.046912015	2.055563121	1.899274434	2.278236759	1.150419156	0.480179865	1.532341632	1.8286347	0.111795217	1.299515058	-1.157686206	0.926367936	2.542682578	2.035381891	1.311124618	0.678548213	0.141633419	3.99399702	-1.097199408	-1.600315667	-3.215325689	2.067071925	-0.639468658	2.492158061	-1.568483185	1.801077846	-1.51632268	0.554983616	0.828646466	0.494961512	1.553062256	2.822699591	2.388754282	1.053391255	-1.058039508	3.287161905	2.33030085	0.912701557	2.71048224	2.921480305	2.6196426	-0.801275056	1.794459198	1.764153261	0.400356974	1.409354212	-0.286326443	1.61258883	3.136740102	1.079457609	0.657008075	2.250816708	2.616781034	2.845896996	0.562837831	2.628922605	2.135369944	-0.064222599	1.411932184	2.149904477	1.928859009	2.501975722	1.710303785	2.044025219	1.908256513	1.705700264	2.810913273	2.268042131	0.657650831	1.755440445	2.55149311	2.529765791	2.75784683	-2.340357808	1.514627629	0.953498312	0.863883817	0.759150229	-0.217072542	-0.781466016	-1.295990758	0.866605107	1.368276903	2.472488864	0.994254244	2.323579275	-2.073469951	-0.509491269	0.404302105	0.680574197	0.703347731	0.629207583
G-361	4.895855547	1.979108183	1.412243139	0.943651086	-0.987490541	-0.2575844	1.35545653	1.699631867	1.807908864	0.633191366	0.015001834	1.63379456	1.675327879	1.251053005	-1.054006216	0.895846588	-1.855924028	1.327793709	2.528963649	0.873065237	-0.015107802	1.092378305	0.099413047	3.071031347	-2.065085027	-1.016582192	-2.084392023	2.478562472	-1.554674792	1.274720317	-2.1254398	0.770679444	-3.154084087	-0.078900884	0.247823632	1.842230723	1.947079399	0.570245158	1.265096786	1.536579478	-1.676342825	2.924695821	2.832927226	-0.575440623	2.287236209	2.594268511	2.754068468	-0.471464878	1.799915674	1.35304663	-0.32217311	-0.680833036	-0.906822947	1.905426216	3.114397388	1.675282712	2.199059229	2.454924692	1.352080759	1.456241947	-2.906748602	2.723614436	0.074683016	-3.594780938	2.342428524	1.945209327	0.611786728	0.507909134	1.537748599	0.482990185	2.952058111	-0.08673382	0.312929152	2.568107045	-0.97801163	2.713467146	2.915849243	1.46516279	2.821597786	-1.143851755	0.647084012	2.533970631	1.028364167	-0.324949554	-0.903259995	-0.294196294	-0.542403407	-1.97192669	0.056499541	2.657211679	2.327526577	2.761435406	-1.536118691	-2.452826181	-1.57236404	-0.737077646	2.334714151	2.34714583
G-401	4.500984581	1.274541388	0.450187488	1.025288196	0.6847026	-0.50883505	0.223788906	2.141099591	1.729569957	0.759570191	-1.168733355	0.408407056	1.680984999	1.765076137	0.517183058	2.062980436	-1.078417908	1.047840971	2.424707785	2.16386053	1.203166827	0.860414239	-0.120199249	3.164093706	-1.78669879	-1.389167336	-2.801556833	1.825972474	-1.520026778	1.445272103	-2.265533211	0.919959487	-2.821193892	0.157434355	-0.064839298	1.073035263	0.49315311	1.280591979	2.22378318	1.362598937	-1.25838129	0.876922641	3.047519512	-0.419798601	2.08924787	2.556384134	2.732186541	-0.357318391	-0.7392109	0.113258789	-0.194493572	-0.650938376	-0.197587486	2.122167391	3.262910032	1.031919301	2.415794759	1.925292148	0.526755777	0.7150068	-1.509676238	1.454990745	0.003030941	-0.025531304	0.393028689	1.685217633	0.518261411	2.818605497	0.28426919	0.165603869	2.22624867	-0.028283862	2.04559172	2.133633634	0.293555709	1.239805212	2.702994134	1.853256157	3.027666609	-1.717602972	0.209954021	1.003197236	0.91799995	-0.629071214	-0.337308272	-0.98493081	-1.050789396	-1.600179733	-0.298765072	2.478533809	1.974390008	2.666885588	-2.06193205	-2.103814541	-1.989238102	0.578736484	0.66037212	1.103837164
GAK	4.921822014	1.513828093	0.828460154	2.329310053	0.021498445	0.120108048	1.403057377	1.726682767	1.833053212	2.108414154	1.644704038	2.149677341	1.136976439	1.87325064	2.100823989	2.388198385	-1.087096415	2.178530129	2.822890246	2.180050594	0.521871267	2.689813297	0.835081407	2.888751439	-1.267865847	-1.004689471	-1.842956863	3.125420651	-0.590219664	2.583652616	-0.039255878	1.069686418	-1.868797385	1.39970028	0.302543868	1.320368576	1.226430245	1.780504448	1.660447647	1.332417642	-0.428361585	2.703685965	2.648336437	-0.102576014	2.601972895	1.95900556	2.674013229	-0.506104206	2.185296437	2.403124652	0.944783325	1.054412281	-0.224578454	2.224309979	3.116259209	1.754333428	2.459665016	2.362798238	1.552607984	1.113970558	-2.071633754	2.699973182	2.039929388	-1.174743556	1.907704959	2.783478022	2.017868097	2.292317021	1.846356086	1.492770022	2.624053295	1.438106678	1.82325162	2.586851195	-0.247670326	2.195588348	2.671308877	2.64406819	2.877927952	-0.661413558	2.021141375	0.279838518	1.270025594	0.016068462	0.307043159	-0.867503662	0.178011662	-0.7006981	0.580048487	2.505063121	1.933511606	2.710612528	-0.657860161	-0.988330901	-1.241554985	1.508686046	0.839063453	2.673428669
GAMG	3.356898307	0.754778186	1.682710017	0.434588871	-0.413781885	-0.254470943	0.592524899	1.593943699	1.769389115	1.948231148	0.010180297	0.451223281	1.47085726	1.733527682	-0.538572061	0.984767515	-0.017251045	1.133876011	1.983170574	2.170986868	0.604633029	2.461297963	-0.404895351	3.138824716	-1.556524886	-1.710441891	-3.278324446	2.678745302	-1.222158959	2.130916254	-2.600399012	0.9585687	-2.748453041	0.417231486	0.746335936	1.393271419	1.897444752	0.591211158	1.73802263	0.813327162	-2.427253619	1.701994863	1.905292453	0.125732161	1.727410645	2.344416724	2.207928826	-0.41793678	1.366175352	0.349946676	-0.094219754	0.071389327	-0.368341219	1.916540246	3.242754425	0.883167795	1.021857132	1.638006348	2.651888965	0.656899936	-1.236607502	1.477019898	2.095674559	-0.303141457	0.539798509	1.752781694	1.163092738	1.70394224	0.413959946	0.790830708	2.7148925	-0.132808555	1.511498537	0.730095494	0.754961024	1.344405038	0.823088365	1.125333004	2.271388369	-2.816049239	-0.430805794	1.228510516	1.172261129	0.232921685	-0.67288067	-1.464127432	-2.417566681	-2.052355422	0.950175959	1.577784035	1.343046999	2.10811753	-1.712554299	-1.88516855	-1.862834956	0.388386949	0.376049946	0.711602366
GCIY	5.238751452	1.709307079	0.73856467	1.549176594	0.143172993	-0.33957529	0.03384066	1.563015417	2.077959253	2.696243027	-0.951469288	0.881695537	1.28418316	1.710219966	1.105665979	1.209290813	-0.736682872	1.221719887	1.488643356	2.169666179	1.136490029	1.26771341	0.447521355	2.038542252	-1.434646654	-1.29525376	-1.498215641	2.986486372	-0.139590498	1.212443357	-0.483148268	1.005737424	-2.180955664	-0.033629159	0.468954656	1.640787136	1.791722709	1.93989834	2.3674504	0.114382743	-1.032973768	3.267538309	2.641285231	-0.887951115	1.225064389	2.371941005	2.470320431	0.593437352	1.104532904	1.097636308	1.092906407	-0.542245324	-0.386169007	1.704054287	2.954326865	0.741449254	0.5058154	2.033858386	2.611165606	1.202620484	-0.508607479	2.680690941	1.113150175	-0.314683267	2.135576233	1.235930003	0.915775928	2.795037638	2.345044714	1.943215916	3.096179169	1.402909282	1.175561767	2.430040487	0.072333917	2.160122558	2.82058284	2.799202522	2.56523853	-1.17948692	-0.362706682	0.840082308	0.992211757	-1.443947505	-1.328317902	-0.03695238	-0.595600573	-1.272002502	1.096269583	2.717031835	2.335508475	2.814780231	-1.303344666	-1.237503886	-1.687100734	0.678904334	2.262297717	2.276476564
GCT	4.000523598	1.968162225	0.555976847	1.915468246	1.500424028	0.12822284	0.965396244	2.763805351	2.114852135	-0.097522129	0.777942151	1.148036617	2.201414843	2.077885423	0.698157477	1.653657453	-0.192781583	1.730419437	2.92344375	-0.513261813	0.868507751	0.833220021	-0.506861615	4.995156546	-0.439039149	-1.863895069	-2.653756866	2.549296014	-0.064755479	1.718858083	-1.898002386	2.546927806	-2.179677969	0.513983611	0.466759732	1.490928179	1.229971482	3.043117504	2.180562627	1.145461685	-0.39244022	3.305288922	2.460184867	-0.690583382	2.683974642	1.727709005	2.430635904	0.050888022	1.939010208	1.072718662	1.219957086	-0.276565675	0.663201115	1.607407696	3.131401754	0.99532782	0.879041998	1.909329654	2.532473183	3.082488036	0.412785613	0.745743124	2.202070193	1.088943035	2.17162919	1.826362037	1.850558754	2.156174386	0.841234492	1.615556364	1.411907864	0.760369293	3.157607084	0.767245478	1.88391865	0.719850052	2.358116543	1.561380299	0.8259204	-2.57949859	0.828454508	0.613252038	0.842609034	0.061275477	-0.718660086	1.309925531	-1.342867636	-2.275515036	1.670090288	2.468269693	2.322016683	2.415180667	-2.309888575	-1.294434247	-1.380752881	0.337998366	1.764716975	0.576318766
GDM-1	4.669156433	1.233206976	1.020460441	2.308100034	-0.858576305	0.286289963	1.798426913	2.487098096	1.128089037	-0.16571114	-1.272658721	0.630036651	3.860711609	1.980133118	-0.641208008	1.800706524	-1.216015863	1.162236743	2.725649106	2.179364409	3.027154576	2.552014263	1.991258006	2.08176541	-2.147809006	-0.099103395	-0.143968621	2.884594806	-0.796685432	1.304211518	1.009534895	1.447159547	-2.365986828	0.531742346	0.922755474	1.683829628	1.970987311	-0.055827253	2.40355026	1.567014401	-1.203862132	3.048101901	2.811720626	-0.690051805	2.877139273	3.035777927	2.639003448	-0.457405463	-0.864183481	1.933054728	1.3991218	-0.762913825	-0.423134417	-0.010262813	3.445216867	2.278182472	-0.974195484	0.383420358	1.903239543	1.032365322	-0.164346586	2.561924863	0.666411854	1.414868449	2.314428256	1.516912452	0.733823477	2.527481837	2.684356821	-0.983005582	3.161606501	-1.736849601	0.522019796	2.689382042	2.712260676	2.760169437	3.094557948	2.731425223	3.077783323	-1.437995933	0.344196183	2.707091703	2.135345189	0.42749647	0.322932691	0.686613496	1.3525359	-0.637844397	-0.452970448	2.954094084	2.454272382	2.731558985	-0.044023997	-1.608873006	-2.075471614	0.68519509	2.22581785	2.398812108
GI-ME-N	4.471880771	1.687832086	1.417333071	1.606551884	-0.342373883	0.012107262	1.492160273	2.294654393	0.883624239	1.194336317	-0.420985093	0.270747866	1.562120336	1.979761362	-0.355770131	0.673289341	-1.196760983	0.890124759	1.890923386	2.259287622	1.086938766	1.039426516	0.220020533	3.325633447	-1.550687968	-1.524174725	-2.346472674	2.723891516	-1.029983216	1.7196789	-0.537115438	1.951378915	-2.215766538	0.992383737	1.058953264	1.176944126	1.73495434	2.580979534	2.030560353	1.227969819	0.3239763	3.465567472	3.034512827	0.158721604	2.596796539	2.43981081	2.533983659	-0.760120877	0.477938906	1.282272698	-0.832201601	-0.71052271	0.143292424	1.833682939	3.109431231	0.98683302	2.360681921	1.661767468	0.794084443	2.803940675	0.699412154	1.291695151	2.349421533	-0.342647055	0.657830195	1.498797161	0.855461979	2.67051325	0.732137112	1.266067	2.990366359	-0.200183698	3.069384068	1.011919606	0.199729426	0.916175044	3.034079835	2.296118834	3.050607781	-1.469941333	1.308293018	1.851936336	0.611506608	-0.258260162	-0.394505724	-0.112186082	-0.256618529	-1.739426704	1.654893021	1.868478613	2.221048428	2.338213696	-2.216351967	-2.239922431	-1.129237312	0.517870112	0.184336727	1.084441573
GMS-10	2.821564345	1.93240372	2.240921309	1.322133607	0.128885573	0.242197781	0.308601407	1.763929165	1.773811101	1.95384701	0.520785965	0.615369223	2.886810142	1.642791405	3.323967928	0.52385773	-0.259460552	0.826001613	2.17781224	2.458159317	1.025690215	1.930379474	-0.402792497	3.33993129	-0.311903348	-0.759612318	-2.909691381	2.91867042	0.379736672	1.797912708	-0.971869837	1.362442157	-0.973926656	1.777876966	1.30278877	1.529855296	1.830647655	3.298923902	2.256941998	1.522450141	1.334575651	3.280683968	2.796898156	0.453441657	2.162690541	2.793662228	2.862731988	-0.334545291	2.01286459	1.418886108	1.339305552	0.187061056	0.584113049	2.269107455	2.544952635	1.03730933	1.429167595	2.359078506	2.800563601	3.109439483	0.410964182	2.771649577	2.484908817	-0.302141277	2.339981709	2.24480173	2.270543667	1.692824301	0.788876817	2.310831429	3.066938556	0.775873172	2.48406064	2.069776711	0.579423103	1.552936311	2.858709118	2.775003634	2.706224417	-2.136052654	2.184590709	0.849883032	1.391660187	1.060492404	-0.353342859	-1.17396834	-0.210255422	1.483090467	2.339041027	2.499903703	2.361884048	2.895527735	-1.947564941	-0.889738671	-0.871479194	0.646226715	0.843427679	0.863990654
GOTO	3.652086529	2.654190726	2.675498951	1.741905953	-1.505873555	0.239449131	1.503117088	1.509823029	0.403142973	0.534367222	0.53368538	1.313187082	2.943197201	2.092645355	-0.259693768	1.332134916	0.039509506	1.025643746	2.699556693	2.591778266	1.915412383	0.489758664	-0.372604254	3.060074966	-0.928200224	-0.601553013	-2.555710978	0.805610184	-0.544303446	1.845472731	-1.729272031	1.372333648	-1.13649915	0.80448623	1.828262075	1.43366124	1.312939534	1.89977865	1.218225119	1.061473909	0.08018379	2.561339	1.446249266	-0.09183374	1.068169427	3.34132885	2.411578194	-0.026763397	1.314817424	2.03252597	0.3124992	0.291883675	-0.256720154	0.519058776	2.864360592	0.592720766	0.423864031	1.800106329	0.584707598	1.467012885	0.63317052	1.60112389	1.345409996	0.423815825	1.049543406	2.671589432	0.680600689	2.344902265	0.933302316	2.36434476	1.977737115	0.507908699	0.76763504	1.77939526	1.978589636	1.316502052	2.890259743	1.64019997	2.482159733	-3.151302865	1.525378589	1.858685706	0.740027808	0.661656329	-0.76713951	-0.345246741	0.084898491	-1.296514951	1.24684556	1.600374297	1.903176136	2.407676927	-2.085821286	-1.151566997	-0.763308164	-0.137202313	-0.176372201	0.890797046
GR-ST	2.837161597	1.833188712	1.142406423	1.087117287	-1.210426928	-0.917270769	0.393476881	2.646045533	-0.01527848	0.568037639	0.620797036	0.042992982	2.650124427	2.156456678	1.363568717	-0.430337625	0.03913167	0.749572733	2.030404876	2.613309718	1.156545749	0.335854689	-0.963037156	2.328068577	-0.78612339	-1.823577775	-2.322660307	2.772351397	-0.592745086	1.543652832	-2.418699321	0.763314679	-2.408172022	0.825252889	1.012036865	1.872786814	1.744989582	1.210995854	1.277653542	0.099724436	-4.225233643	1.039704464	2.253045942	-0.188779125	0.889595788	2.685024766	0.26559583	-0.99868839	1.021287772	-0.205563304	-0.658072965	-0.059298134	-0.916002195	1.883910833	3.290438657	1.043958813	1.323355219	-0.223610846	0.812068577	-0.073430945	-3.188393785	0.220330185	0.860605328	0.709615034	0.098642174	1.871189479	1.065134577	0.862021128	-0.360376692	1.935092437	0.672657877	0.538739265	0.740758292	0.970946527	2.044488612	1.063588489	1.642885213	0.299826487	1.604819736	-3.406175096	-0.602608783	0.466437919	0.53615695	-0.990650034	-0.777827497	0.301402976	-2.894266979	-1.978630894	0.458572412	1.067836323	-0.031737806	0.491945771	-3.764201821	-2.082378634	-0.990977926	-0.396029664	0.411249514	0.22254639
GT3TKB	3.959540965	1.69653665	1.181278385	2.072325809	0.726996802	0.452450163	1.279334696	2.677346439	1.278063516	1.792100979	0.257352053	0.277933702	1.248103711	2.010632317	-2.164333911	1.171634442	-0.840564375	0.701422938	2.565684985	2.529446151	1.055258721	0.759102891	-0.376201081	2.383942733	-1.372701495	-0.927820217	-3.096193935	2.974941522	-1.172674143	1.023598653	-1.551873158	0.558700308	-3.183436314	-0.391004442	0.462074128	1.14387955	1.648780326	1.666052217	2.169629264	1.477445507	-1.369418229	2.507117768	2.67672757	-0.519714126	1.423806664	2.840221636	2.657886572	-0.376263185	1.569548943	2.17588267	0.638995277	-0.419719993	-0.49725285	1.983276976	2.720278186	1.090167311	1.879351609	1.951933943	2.110472709	1.205404312	-0.788264462	1.847162571	2.208909897	0.792871458	1.636166243	1.78250698	0.652074056	2.617382966	0.413632922	1.941575151	2.835511712	1.472576197	1.121887312	1.59319845	1.023885722	1.393725691	2.78234321	2.559216169	2.625009177	-2.74829626	1.209463228	0.971926296	1.175454496	-0.461550804	-0.522034996	-1.226041986	-0.701497636	-1.912947328	0.478302845	1.668335738	1.659726718	2.651905034	-3.005331712	-3.126260142	-1.919999836	0.489992749	1.118332611	0.80993402
