	AICA_Ribonucleotide	AKT_inhibitor_VIII	AS601245	AZD6482	AZD7762	AZD8055	Afatinib	Avagacestat	Axitinib	BAY-61-3606	BMS-754807	BX795	Bexarotene	Bicalutamide	Bleomycin	Bosutinib	Bryostatin_1	CCT-018159	CCT007093	CHIR-99021	CI-1040	Cisplatin	Cytarabine	DMOG	Dacinostat	Dactolisib	Docetaxel	Doramapimod	Doxorubicin	EHT-1864	Elesclomol	Embelin	Epothilone_B	Etoposide	FH535	FTI-277	GSK1904529A	GSK650394	GW441756	Gefitinib	Gemcitabine	IPA-3	JNK_Inhibitor_VIII	JNK-9L	KU-55933	LFM-A13	Lenalidomide	Lestaurtinib	Linsitinib	MK-2206	Methotrexate	Midostaurin	Mitomycin-C	Motesanib	NSC-87877	NU7441	Navitoclax	Nilotinib	Nutlin-3a	OSU-03012	Obatoclax_Mesylate	Olaparib	PAC-1	PD0325901	PD173074	PF-4708671	PF-562271	PLX-4720	Palbociclib	Pazopanib	Pictilisib	Ponatinib	QS11	RO-3306	Refametinib	Rucaparib	SB216763	SB590885	SL0101	SN-38	STF-62247	Selumetinib	Serdemetan	Shikonin	TW_37	Tanespimycin	Temsirolimus	Thapsigargin	Tipifarnib	Tretinoin	VX-702	Veliparib	Vinblastine	Vinorelbine	Vismodegib	Vorinostat	Wee1_Inhibitor	ZM447439
Cisplatin	0.028571429	0.028368794	0.021857923	0.023668639	0.026143791	0.014423077	0.021459227	0.029069767	0.020618557	0.01754386	0.01980198	0.022099448	0.00877193	0.027210884	0.016326531	0.026315789	0.00952381	0.021505376	0.011235955	0.032432432	0.034965035	1	0.047058824	0.0625	0.024242424	0.016853933	0.016393443	0.018779343	0.016393443	0.027173913	0.038461538	0.015873016	0.013422819	0.005952381	0.047619048	0.026315789	0.014814815	0.020408163	0.023809524	0.022026432	0.046511628	0.008264463	0.02020202	0.021978022	0.015037594	0.033898305	0.02962963	0.018348624	0.020833333	0.04	0.019323671	0.018099548	0.035087719	0.022099448	0.014218009	0.01183432	0.026041667	0.020833333	0.032786885	0.025	0.031007752	0.02919708	0.028776978	0.028985507	0.019704433	0.02259887	0.021052632	0.024390244	0.023255814	0.020725389	0.018099548	0.018957346	0.026595745	0.02259887	0.024539877	0.022099448	0.034482759	0.018691589	0.006329114	0.015075377	0.025157233	0.022123894	0.026490066	0.007751938	0.014778325	0.035714286	0.015267176	0.009803922	0.033149171	0.016393443	0.025	0.022222222	0.016393443	0.016326531	0.032967033	0.04	0.023696682	0.017021277
Cytarabine	0.47972973	0.30952381	0.212962963	0.362637363	0.247311828	0.282511211	0.288065844	0.253731343	0.207964602	0.258196721	0.237885463	0.268292683	0.158536585	0.234972678	0.306451613	0.221343874	0.283687943	0.255924171	0.153846154	0.214611872	0.211956522	0.047058824	1	0.298969072	0.291005291	0.230769231	0.305	0.280701754	0.242857143	0.245283019	0.244897959	0.241071429	0.276836158	0.201970443	0.176136364	0.248648649	0.233215548	0.244343891	0.24120603	0.263374486	0.918604651	0.152046784	0.288372093	0.279411765	0.24260355	0.25477707	0.258823529	0.308370044	0.260465116	0.290502793	0.288288288	0.287553648	0.35915493	0.256038647	0.204166667	0.21182266	0.208888889	0.243119266	0.326633166	0.231958763	0.27607362	0.248554913	0.274853801	0.284023669	0.264573991	0.230769231	0.251162791	0.223175966	0.287179487	0.225225225	0.239669421	0.228813559	0.240740741	0.230769231	0.273684211	0.238095238	0.231884058	0.273913043	0.206185567	0.288372093	0.239583333	0.233870968	0.216931217	0.198830409	0.22173913	0.414814815	0.368421053	0.28057554	0.247619048	0.201754386	0.251308901	0.245192308	0.271653543	0.270588235	0.211981567	0.269503546	0.222689076	0.276422764
DMOG	0.214765101	0.151898734	0.092682927	0.228070175	0.175757576	0.117117117	0.136363636	0.163043478	0.1352657	0.120833333	0.135514019	0.150259067	0.125925926	0.189873418	0.162601626	0.101626016	0.162601626	0.096618357	0.104347826	0.096153846	0.149068323	0.0625	0.298969072	1	0.170454545	0.112244898	0.205405405	0.139013453	0.149484536	0.153061224	0.198347107	0.202380952	0.153374233	0.107526882	0.104575163	0.261437908	0.122743682	0.133971292	0.148351648	0.116182573	0.27	0.074324324	0.132701422	0.137755102	0.178082192	0.186567164	0.205479452	0.15625	0.099056604	0.135294118	0.180952381	0.159292035	0.313559322	0.144329897	0.096069869	0.142857143	0.17	0.131067961	0.183246073	0.155172414	0.164383562	0.178807947	0.176470588	0.162337662	0.134883721	0.095477387	0.143564356	0.117647059	0.163934426	0.098591549	0.114893617	0.12	0.16751269	0.129533679	0.139664804	0.162303665	0.148148148	0.123348018	0.132947977	0.165853659	0.104972376	0.112033195	0.10982659	0.105960265	0.119815668	0.307692308	0.307692308	0.186440678	0.137055838	0.207317073	0.129213483	0.139175258	0.14	0.139442231	0.14213198	0.205128205	0.104803493	0.140495868
Dacinostat	0.346846847	0.595744681	0.590697674	0.547169811	0.514563107	0.50617284	0.553359684	0.515981735	0.697115385	0.554216867	0.576419214	0.574074074	0.370558376	0.492682927	0.43772242	0.513618677	0.242857143	0.449579832	0.296296296	0.587155963	0.538071066	0.024242424	0.291005291	0.170454545	1	0.671641791	0.403292181	0.524590164	0.347826087	0.661835749	0.461111111	0.216666667	0.372197309	0.301204819	0.420792079	0.53960396	0.51590106	0.643518519	0.777173913	0.51171875	0.276041667	0.319047619	0.475206612	0.639423077	0.380952381	0.481283422	0.563829787	0.64628821	0.655660377	0.645502646	0.598253275	0.623931624	0.325242718	0.691542289	0.543933054	0.399141631	0.466666667	0.655660377	0.41563786	0.652849741	0.655172414	0.502538071	0.482587065	0.579787234	0.52742616	0.631067961	0.630841121	0.615044248	0.599033816	0.622119816	0.576763485	0.629955947	0.438016529	0.688442211	0.418502203	0.743589744	0.744791667	0.62173913	0.29218107	0.615384615	0.606060606	0.601659751	0.802325581	0.802325581	0.41015625	0.375634518	0.297297297	0.228571429	0.628571429	0.269005848	0.603015075	0.637681159	0.55	0.54789272	0.617924528	0.541666667	0.606060606	0.5390625
Dactolisib	0.312236287	0.668449198	0.669811321	0.484716157	0.493087558	0.56846473	0.539923954	0.445378151	0.6367713	0.583333333	0.628820961	0.550660793	0.336492891	0.438914027	0.419795222	0.560311284	0.202643172	0.422310757	0.247572816	0.672897196	0.40625	0.016853933	0.230769231	0.112244898	0.671641791	1	0.342205323	0.567346939	0.288321168	0.603603604	0.403061224	0.16080402	0.325	0.292307692	0.359090909	0.454954955	0.558303887	0.568376068	0.729591837	0.540540541	0.229665072	0.301801802	0.493927126	0.64953271	0.35426009	0.402912621	0.5	0.607438017	0.762135922	0.664948454	0.643478261	0.633333333	0.266666667	0.717073171	0.56147541	0.379591837	0.450199203	0.696261682	0.418326693	0.638613861	0.530612245	0.495145631	0.448598131	0.417431193	0.578059072	0.714285714	0.648401826	0.551440329	0.657004831	0.669724771	0.606557377	0.668122271	0.417322835	0.66507177	0.352226721	0.607305936	0.644549763	0.58436214	0.253846154	0.604347826	0.601941748	0.5546875	0.75	0.269230769	0.371323529	0.263392857	0.265822785	0.179039301	0.710144928	0.22459893	0.583732057	0.588235294	0.525735294	0.512727273	0.543478261	0.418848168	0.51984127	0.555555556
Docetaxel	0.253968254	0.390350877	0.277580071	0.582568807	0.436681223	0.418518519	0.394557823	0.347490347	0.365313653	0.407665505	0.281355932	0.327137546	0.559782609	0.416666667	0.394039735	0.371621622	0.502702703	0.471544715	0.27804878	0.287234043	0.428571429	0.016393443	0.305	0.205405405	0.403292181	0.342205323	1	0.435424354	0.704761905	0.383141762	0.428571429	0.311111111	0.416666667	0.564220183	0.310344828	0.518518519	0.411392405	0.464566929	0.387096774	0.37883959	0.284313725	0.406698565	0.4609375	0.335820896	0.461904762	0.36744186	0.453271028	0.486792453	0.333333333	0.372384937	0.423791822	0.464944649	0.394230769	0.39453125	0.363957597	0.504385965	0.447058824	0.362962963	0.510460251	0.382716049	0.361607143	0.497607656	0.478873239	0.495238095	0.42481203	0.283636364	0.345588235	0.354609929	0.364705882	0.285714286	0.297385621	0.362676056	0.465863454	0.327067669	0.424369748	0.422310757	0.369649805	0.382978723	0.606796117	0.520325203	0.288461538	0.338870432	0.334693878	0.564766839	0.588235294	0.531914894	0.588541667	0.486486486	0.354716981	0.30726257	0.388429752	0.358778626	0.56133829	0.570895522	0.379310345	0.401015228	0.421245421	0.45229682
Doramapimod	0.314393939	0.539823009	0.477272727	0.566666667	0.434262948	0.662650602	0.670454545	0.397058824	0.513207547	0.623134328	0.526119403	0.46969697	0.358974359	0.427419355	0.4125	0.594890511	0.245967742	0.610655738	0.215767635	0.492424242	0.398406375	0.018779343	0.280701754	0.139013453	0.524590164	0.567346939	0.435424354	1	0.435424354	0.513513514	0.382222222	0.181415929	0.346007605	0.409090909	0.34	0.459349593	0.600671141	0.520754717	0.506024096	0.686046512	0.268398268	0.400862069	0.6875	0.627615063	0.426160338	0.371308017	0.449152542	0.512455516	0.564705882	0.574561404	0.527675277	0.539568345	0.304878049	0.564516129	0.579545455	0.47826087	0.433691756	0.546511628	0.574297189	0.602620087	0.527272727	0.439330544	0.504347826	0.408163265	0.659919028	0.536	0.53875969	0.46975089	0.528225806	0.581027668	0.579335793	0.577358491	0.552941176	0.494163424	0.474103586	0.503875969	0.478764479	0.657480315	0.38697318	0.626506024	0.5	0.471186441	0.52991453	0.376033058	0.465949821	0.323651452	0.322834646	0.228915663	0.535433071	0.204545455	0.535564854	0.5	0.628158845	0.614285714	0.448148148	0.389140271	0.56928839	0.69348659
Doxorubicin	0.20610687	0.331932773	0.233676976	0.474358974	0.359504132	0.450757576	0.389830508	0.302238806	0.312056738	0.407665505	0.231270358	0.270462633	0.568306011	0.351464435	0.32807571	0.380952381	0.478723404	0.540425532	0.27804878	0.24742268	0.355932203	0.016393443	0.242857143	0.149484536	0.347826087	0.288321168	0.704761905	0.435424354	1	0.357142857	0.352657005	0.318435754	0.368644068	0.713567839	0.282700422	0.41991342	0.415873016	0.419847328	0.323076923	0.383561644	0.230046948	0.492385787	0.47826087	0.292418773	0.461904762	0.306666667	0.382222222	0.417266187	0.295774648	0.317269076	0.348591549	0.417857143	0.324200913	0.322222222	0.368794326	0.580645161	0.376865672	0.318996416	0.516806723	0.35483871	0.314655172	0.429223744	0.478873239	0.42081448	0.430188679	0.242957746	0.293286219	0.308219178	0.298507463	0.246621622	0.26433121	0.329896907	0.471774194	0.283636364	0.436440678	0.367816092	0.308550186	0.407942238	0.770053476	0.496	0.24535316	0.287539936	0.287401575	0.687150838	0.56846473	0.432835821	0.495098039	0.447368421	0.300724638	0.278688525	0.333333333	0.299270073	0.532846715	0.525362319	0.323529412	0.326923077	0.437037037	0.45229682
EHT-1864	0.296747967	0.488372093	0.567099567	0.519650655	0.515981735	0.556451613	0.570342205	0.472803347	0.62173913	0.513011152	0.476744186	0.558441558	0.342592593	0.537735849	0.437288136	0.549242424	0.260089686	0.420233463	0.352040816	0.50617284	0.454954955	0.027173913	0.245283019	0.153061224	0.661835749	0.603603604	0.383141762	0.513513514	0.357142857	1	0.39408867	0.238341969	0.417391304	0.307984791	0.408256881	0.518348624	0.527210884	0.512096774	0.606481481	0.559386973	0.255924171	0.337837838	0.46692607	0.611607143	0.527093596	0.394366197	0.447004608	0.556862745	0.606060606	0.576190476	0.556451613	0.57480315	0.296460177	0.565217391	0.607438017	0.478632479	0.543568465	0.606060606	0.416342412	0.547945205	0.54	0.462962963	0.438914027	0.467592593	0.528	0.554585153	0.583690987	0.558704453	0.553097345	0.556485356	0.6	0.56	0.426356589	0.695238095	0.425	0.585903084	0.584821429	0.547244094	0.336	0.604255319	0.60952381	0.471014493	0.601941748	0.331877729	0.421641791	0.322727273	0.333333333	0.241071429	0.540425532	0.227979275	0.555045872	0.489626556	0.5	0.487719298	0.642533937	0.409090909	0.492366412	0.562264151
Elesclomol	0.202020202	0.512658228	0.39800995	0.475138122	0.559006211	0.343612335	0.349593496	0.480874317	0.474747475	0.358333333	0.395348837	0.416243655	0.451388889	0.53125	0.27037037	0.322580645	0.27388535	0.399014778	0.426356589	0.370192308	0.522012579	0.038461538	0.244897959	0.198347107	0.461111111	0.403061224	0.428571429	0.382222222	0.352657005	0.39408867	1	0.284552846	0.303191489	0.32160804	0.486842105	0.552795031	0.318996416	0.38028169	0.461538462	0.336065574	0.243243243	0.421052632	0.396226415	0.421319797	0.467948718	0.51048951	0.532894737	0.362068966	0.380952381	0.515151515	0.392694064	0.369098712	0.325	0.445595855	0.356828194	0.387434555	0.455	0.421568627	0.429292929	0.49132948	0.455128205	0.609589041	0.601351351	0.54248366	0.374429224	0.388888889	0.44	0.388127854	0.443850267	0.412621359	0.399122807	0.391891892	0.427860697	0.439790576	0.418478261	0.43814433	0.434554974	0.344827586	0.345744681	0.38317757	0.43575419	0.365546218	0.447674419	0.391304348	0.395348837	0.381578947	0.319767442	0.238993711	0.426395939	0.356521739	0.474285714	0.432989691	0.3359375	0.33463035	0.446153846	0.571428571	0.35371179	0.353658537
Embelin	0.161676647	0.181818182	0.123222749	0.296511628	0.246987952	0.202764977	0.175510204	0.194736842	0.203883495	0.205128205	0.153153153	0.180904523	0.447368421	0.25625	0.17254902	0.163934426	0.514563107	0.224489796	0.333333333	0.136792453	0.261146497	0.015873016	0.241071429	0.202380952	0.216666667	0.16080402	0.311111111	0.181415929	0.318435754	0.238341969	0.284552846	1	0.322368421	0.303571429	0.189542484	0.271604938	0.186813187	0.25	0.226519337	0.155737705	0.238938053	0.312977099	0.235294118	0.156862745	0.302816901	0.28358209	0.268456376	0.219730942	0.177033493	0.177142857	0.225352113	0.211453744	0.37704918	0.205128205	0.189189189	0.292397661	0.216748768	0.2	0.219387755	0.182320442	0.21192053	0.281879195	0.295302013	0.306122449	0.189814815	0.137931034	0.196078431	0.203703704	0.20212766	0.143518519	0.136363636	0.188340807	0.221105528	0.178571429	0.225988701	0.236842105	0.216931217	0.175438596	0.366013072	0.26	0.139037433	0.180672269	0.15819209	0.44	0.267326733	0.482142857	0.407692308	0.545454545	0.179104478	0.534246575	0.23699422	0.206185567	0.216326531	0.215447154	0.214285714	0.316239316	0.231481481	0.204166667
Epothilone_B	0.294930876	0.293577982	0.372881356	0.377777778	0.38028169	0.364705882	0.315789474	0.313807531	0.378600823	0.336956522	0.294339623	0.352941176	0.369565217	0.36492891	0.42962963	0.306338028	0.472727273	0.3625	0.351190476	0.28627451	0.30733945	0.013422819	0.276836158	0.153374233	0.372197309	0.325	0.416666667	0.346007605	0.368644068	0.417391304	0.303191489	0.322368421	1	0.378378378	0.262910798	0.375586854	0.330097087	0.36437247	0.36123348	0.299295775	0.268156425	0.295	0.389344262	0.323770492	0.387755102	0.282178218	0.308056872	0.380769231	0.332	0.325791855	0.354085603	0.355805243	0.342105263	0.336099585	0.33460076	0.419354839	0.352226721	0.321428571	0.314516129	0.325991189	0.421052632	0.311320755	0.308411215	0.347826087	0.328185328	0.287449393	0.340080972	0.334615385	0.304166667	0.309803922	0.355805243	0.308550186	0.2890625	0.407079646	0.327510917	0.36440678	0.354700855	0.339622642	0.38317757	0.448717949	0.41509434	0.304964539	0.327272727	0.390625	0.4	0.454022989	0.451612903	0.472392638	0.311740891	0.33557047	0.355855856	0.331950207	0.425925926	0.424354244	0.382978723	0.324175824	0.357692308	0.328621908
Etoposide	0.177165354	0.310043668	0.221428571	0.389830508	0.294605809	0.4296875	0.355172414	0.267175573	0.265232975	0.402173913	0.232081911	0.223021583	0.560693642	0.30212766	0.286624204	0.384341637	0.491428571	0.568181818	0.296296296	0.222614841	0.300429185	0.005952381	0.201970443	0.107526882	0.301204819	0.292307692	0.564220183	0.409090909	0.713567839	0.307984791	0.32160804	0.303571429	0.378378378	1	0.253275109	0.340517241	0.357594937	0.392156863	0.297619048	0.377224199	0.195121951	0.53038674	0.416666667	0.267657993	0.44278607	0.264840183	0.324324324	0.370909091	0.290441176	0.285123967	0.288732394	0.362007168	0.281690141	0.278195489	0.351648352	0.51627907	0.303703704	0.267148014	0.482758621	0.307377049	0.303167421	0.357798165	0.432692308	0.356164384	0.42519685	0.230769231	0.273722628	0.25862069	0.249056604	0.230769231	0.258278146	0.284722222	0.46835443	0.258426966	0.4	0.317829457	0.288461538	0.391791045	0.744444444	0.475206612	0.218390805	0.253246753	0.265306122	0.610169492	0.510460251	0.375634518	0.461928934	0.49132948	0.266666667	0.299401198	0.281124498	0.260223048	0.509363296	0.501858736	0.261029412	0.295	0.40530303	0.417266187
FH535	0.139130435	0.429347826	0.367713004	0.392344498	0.447368421	0.305555556	0.369230769	0.505102041	0.385964912	0.286764706	0.296	0.346666667	0.331428571	0.545977011	0.215231788	0.348659004	0.197860963	0.344978166	0.324840764	0.391891892	0.546511628	0.047619048	0.176136364	0.104575163	0.420792079	0.359090909	0.310344828	0.34	0.282700422	0.408256881	0.486842105	0.189542484	0.262910798	0.253275109	1	0.457446809	0.31986532	0.303278689	0.387559809	0.356589147	0.175141243	0.348314607	0.338912134	0.381818182	0.367567568	0.437125749	0.468571429	0.333333333	0.359307359	0.405128205	0.326612903	0.329457364	0.222797927	0.364864865	0.389121339	0.307692308	0.492890995	0.365217391	0.370535714	0.402985075	0.41011236	0.37037037	0.366492147	0.494252874	0.3	0.365296804	0.424657534	0.438596491	0.342465753	0.438356164	0.383064516	0.326693227	0.466981132	0.397196262	0.439393939	0.396313364	0.446601942	0.317647059	0.270642202	0.333333333	0.433673469	0.396	0.429319372	0.298429319	0.396551724	0.27173913	0.212560386	0.169312169	0.425233645	0.24137931	0.389162562	0.372727273	0.29787234	0.296819788	0.53	0.5	0.385892116	0.317343173
FTI-277	0.254385965	0.534759358	0.412017167	0.632124352	0.689265537	0.38976378	0.417910448	0.45	0.538461538	0.432950192	0.414634146	0.513888889	0.485549133	0.655367232	0.40647482	0.367272727	0.305263158	0.360655738	0.380952381	0.399159664	0.593406593	0.026315789	0.248648649	0.261437908	0.53960396	0.454954955	0.518518519	0.459349593	0.41991342	0.518348624	0.552795031	0.271604938	0.375586854	0.340517241	0.457446809	1	0.454545455	0.486956522	0.554455446	0.375	0.234042553	0.353846154	0.451476793	0.457777778	0.465608466	0.526011561	0.713414634	0.555555556	0.420168067	0.482587065	0.568888889	0.568376068	0.436464088	0.54245283	0.418326693	0.462616822	0.661764706	0.515695067	0.439130435	0.537688442	0.486486486	0.58988764	0.476683938	0.604519774	0.401606426	0.42920354	0.520361991	0.504273504	0.485981308	0.418410042	0.456349206	0.519148936	0.515837104	0.523584906	0.471428571	0.602941176	0.533333333	0.422924901	0.368181818	0.482758621	0.480582524	0.462745098	0.47029703	0.416666667	0.526315789	0.474285714	0.395939086	0.282722513	0.488687783	0.307692308	0.545454545	0.523364486	0.444444444	0.442804428	0.586538462	0.607843137	0.491666667	0.448669202
GSK1904529A	0.36026936	0.47810219	0.510135135	0.535460993	0.452961672	0.682142857	0.711340206	0.471380471	0.531772575	0.757142857	0.569023569	0.534482759	0.320422535	0.393220339	0.53776435	0.558359621	0.249146758	0.465798046	0.219512195	0.539249147	0.397260274	0.014814815	0.233215548	0.122743682	0.51590106	0.558303887	0.411392405	0.600671141	0.415873016	0.527210884	0.318996416	0.186813187	0.330097087	0.357594937	0.31986532	0.454545455	1	0.591695502	0.570909091	0.64548495	0.236749117	0.299319728	0.604166667	0.610108303	0.362068966	0.321799308	0.445652174	0.539936102	0.61130742	0.464788732	0.635416667	0.600660066	0.317073171	0.600719424	0.519230769	0.481099656	0.488599349	0.67032967	0.516891892	0.482517483	0.444852941	0.421985816	0.434163701	0.410526316	0.632867133	0.592057762	0.681481481	0.609589041	0.585454545	0.565068493	0.57980456	0.649305556	0.466019417	0.505119454	0.503521127	0.523972603	0.522491349	0.665505226	0.369281046	0.560810811	0.48943662	0.573717949	0.51459854	0.344827586	0.488817891	0.31010453	0.31	0.222222222	0.557491289	0.170909091	0.558823529	0.568904594	0.633440514	0.621019108	0.518644068	0.343173432	0.550488599	0.732638889
GSK650394	0.358024691	0.518348624	0.573839662	0.602678571	0.484848485	0.581673307	0.541818182	0.49382716	0.593360996	0.658730159	0.574297189	0.606060606	0.512562814	0.386831276	0.505190311	0.453287197	0.292035398	0.446153846	0.28372093	0.604255319	0.433476395	0.020408163	0.244343891	0.133971292	0.643518519	0.568376068	0.464566929	0.520754717	0.419847328	0.512096774	0.38028169	0.25	0.36437247	0.392156863	0.303278689	0.486956522	0.591695502	1	0.627272727	0.52	0.243243243	0.368888889	0.53968254	0.576271186	0.371794872	0.368888889	0.490825688	0.563218391	0.653679654	0.554545455	0.661087866	0.556818182	0.316017316	0.678733032	0.509433962	0.457142857	0.402930403	0.653679654	0.447876448	0.52173913	0.497652582	0.5	0.502283105	0.451327434	0.6375	0.623893805	0.645021645	0.699570815	0.601769912	0.589211618	0.550943396	0.691983122	0.408921933	0.581896552	0.368217054	0.613043478	0.591304348	0.683333333	0.369047619	0.570850202	0.551111111	0.538745387	0.616113744	0.410714286	0.462686567	0.366515837	0.329166667	0.290178571	0.573839662	0.265306122	0.612903226	0.637168142	0.55	0.537102473	0.53909465	0.414634146	0.620967742	0.579925651
GW441756	0.35426009	0.620320856	0.597222222	0.561320755	0.582914573	0.476	0.534883721	0.488888889	0.736585366	0.625	0.662100457	0.617924528	0.365	0.464454976	0.464028777	0.513513514	0.23943662	0.408906883	0.326203209	0.608294931	0.537688442	0.023809524	0.24120603	0.148351648	0.777173913	0.729591837	0.387096774	0.506024096	0.323076923	0.606481481	0.461538462	0.226519337	0.36123348	0.297619048	0.387559809	0.554455446	0.570909091	0.627272727	1	0.488549618	0.24	0.290322581	0.512605042	0.6	0.344036697	0.473684211	0.659217877	0.674008811	0.677725118	0.635416667	0.662162162	0.68722467	0.359605911	0.75	0.518367347	0.405982906	0.485355649	0.76119403	0.410569106	0.634517766	0.598901099	0.557291667	0.468292683	0.554404145	0.533613445	0.661764706	0.692307692	0.657657658	0.661691542	0.628440367	0.576131687	0.695454545	0.43852459	0.720812183	0.382978723	0.72361809	0.817204301	0.566666667	0.288617886	0.628959276	0.621212121	0.627615063	0.768361582	0.333333333	0.421875	0.36318408	0.293333333	0.231132075	0.666666667	0.242937853	0.668393782	0.727272727	0.555555556	0.541666667	0.671497585	0.532163743	0.619047619	0.556862745
Gefitinib	0.355805243	0.469635628	0.528301887	0.521400778	0.394052045	0.722891566	0.868852459	0.462962963	0.469964664	0.711026616	0.519713262	0.487084871	0.285714286	0.361623616	0.441358025	0.786561265	0.218045113	0.563218391	0.19379845	0.585271318	0.4296875	0.022026432	0.263374486	0.116182573	0.51171875	0.540540541	0.37883959	0.686046512	0.383561644	0.559386973	0.336065574	0.155737705	0.299295775	0.377224199	0.356589147	0.375	0.64548495	0.52	0.488549618	1	0.262295082	0.349206349	0.653543307	0.629032258	0.400793651	0.333333333	0.357414449	0.471571906	0.610894942	0.508064516	0.571428571	0.511945392	0.272727273	0.538167939	0.542857143	0.40942029	0.431034483	0.574144487	0.583657588	0.469230769	0.5	0.375478927	0.42687747	0.395348837	0.7	0.577075099	0.560606061	0.539568345	0.563492063	0.560150376	0.543554007	0.519298246	0.59922179	0.494382022	0.509803922	0.47080292	0.513307985	0.689922481	0.36101083	0.603053435	0.505928854	0.542955326	0.528688525	0.313207547	0.418060201	0.284615385	0.3	0.197761194	0.563706564	0.171548117	0.528	0.494423792	0.612456747	0.599315068	0.481751825	0.341666667	0.55	0.857723577
Gemcitabine	0.447368421	0.307692308	0.211981567	0.345945946	0.259459459	0.269911504	0.286885246	0.277777778	0.207048458	0.257142857	0.247787611	0.266990291	0.157575758	0.247252747	0.28968254	0.220472441	0.272727273	0.254716981	0.152777778	0.213636364	0.230769231	0.046511628	0.918604651	0.27	0.276041667	0.229665072	0.284313725	0.268398268	0.230046948	0.255924171	0.243243243	0.238938053	0.268156425	0.195121951	0.175141243	0.234042553	0.236749117	0.243243243	0.24	0.262295082	1	0.151162791	0.281105991	0.27804878	0.226744186	0.253164557	0.257309942	0.29004329	0.259259259	0.288888889	0.275555556	0.270042194	0.337931034	0.254807692	0.193415638	0.199029126	0.21875	0.265116279	0.325	0.256544503	0.259036145	0.261627907	0.273255814	0.305389222	0.263392857	0.253658537	0.273584906	0.238095238	0.285714286	0.224215247	0.228571429	0.248927039	0.239631336	0.229665072	0.285714286	0.248803828	0.230769231	0.261802575	0.198979592	0.287037037	0.238341969	0.24291498	0.215789474	0.190751445	0.220779221	0.411764706	0.348387097	0.269503546	0.246445498	0.2	0.26984127	0.244019139	0.255813953	0.254826255	0.211009174	0.267605634	0.221757322	0.265060241
IPA-3	0.105263158	0.331578947	0.266094421	0.36407767	0.325	0.3930131	0.320610687	0.301369863	0.30212766	0.338582677	0.212355212	0.246808511	0.592857143	0.385026738	0.19	0.346456693	0.312883436	0.453658537	0.375	0.245833333	0.312820513	0.008264463	0.152046784	0.074324324	0.319047619	0.301801802	0.406698565	0.400862069	0.492385787	0.337837838	0.421052632	0.312977099	0.295	0.53038674	0.348314607	0.353846154	0.299319728	0.368888889	0.290322581	0.349206349	0.151162791	1	0.35371179	0.283842795	0.537974684	0.314285714	0.327956989	0.299212598	0.30472103	0.32	0.270916335	0.295719844	0.195767196	0.268398268	0.497674419	0.508108108	0.314655172	0.261410788	0.400943396	0.36	0.309782609	0.368131868	0.502994012	0.344086022	0.375545852	0.251082251	0.268907563	0.272	0.256637168	0.29787234	0.285714286	0.26171875	0.419811321	0.313636364	0.403061224	0.308035714	0.291479821	0.364016736	0.5	0.422018349	0.28436019	0.232727273	0.308457711	0.597315436	0.495238095	0.28	0.302702703	0.294478528	0.293859649	0.338582677	0.301435407	0.242553191	0.358778626	0.357414449	0.298245614	0.325	0.414847162	0.34496124
JNK_Inhibitor_VIII	0.349593496	0.48	0.494023904	0.597345133	0.480686695	0.65560166	0.644787645	0.431372549	0.478927203	0.666666667	0.492424242	0.516260163	0.364864865	0.448717949	0.432786885	0.598484848	0.295154185	0.555555556	0.241071429	0.516	0.454545455	0.02020202	0.288372093	0.132701422	0.475206612	0.493927126	0.4609375	0.6875	0.47826087	0.46692607	0.396226415	0.235294118	0.389344262	0.416666667	0.338912134	0.451476793	0.604166667	0.53968254	0.512605042	0.653543307	0.281105991	0.35371179	1	0.526530612	0.398268398	0.441860465	0.440528634	0.474820144	0.505882353	0.515418502	0.564705882	0.501818182	0.330434783	0.573839662	0.477941176	0.447580645	0.41025641	0.548387097	0.5907173	0.478991597	0.528571429	0.418103448	0.484304933	0.473214286	0.673728814	0.5	0.578512397	0.496240602	0.568965517	0.492248062	0.464539007	0.509363296	0.56147541	0.464285714	0.517094017	0.486055777	0.477911647	0.61752988	0.451882845	0.598360656	0.493617021	0.475352113	0.478448276	0.452054795	0.509578544	0.375565611	0.3375	0.265217391	0.482213439	0.213592233	0.622119816	0.530864198	0.597069597	0.583333333	0.480314961	0.467336683	0.54789272	0.714859438
