drug1,drug2,cell,score,nor,index,true_label,predict_label,predict_score,smile1,smile2
CYCLOPHOSPHAMIDE,GELDANAMYCIN,UACC62,-13.0158698,0.6199686,1471,0,0,5.54E-06,O=P1(N(CCCl)CCCl)NCCCO1,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-2.779763458,0.6402145,1487,0,0,0.00528575,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,A2780,-2.598652612,0.6405727,1488,0,0,1.96E-06,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,A375,-10.04213779,0.6258503,1489,0,0,1.61E-11,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,A427,-21.25150723,0.6036793,1490,0,0,8.17E-14,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,ES2,-5.342947201,0.6351448,1492,0,0,2.82E-14,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,HCT116,-2.09761671,0.6415637,1493,0,0,0.148416206,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,HT144,-12.54923127,0.6208915,1494,0,0,1.47E-07,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,LOVO,-9.032689811,0.6278469,1497,0,1,0.570114195,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH1650,-7.741116515,0.6304015,1499,0,0,3.62E-06,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH2122,-2.958369909,0.6398613,1500,0,1,0.833383858,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH23,-2.369833365,0.6410253,1501,0,0,5.50E-11,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH520,-0.515284269,0.6446934,1503,0,0,5.15E-13,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,OV90,-12.78199443,0.6204311,1504,0,0,5.40E-08,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,RKO,-8.700844881,0.6285032,1505,0,0,4.38E-06,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,RPMI7951,-9.272506953,0.6273725,1506,0,0,6.44E-08,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,SKMES1,-2.029502112,0.6416985,1508,0,0,0.010847093,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,UACC62,-16.42072751,0.6132341,1512,0,0,1.44E-07,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,LAPATINIB,VCAP,-4.82792384,0.6361635,1513,0,0,1.96E-09,O=P1(N(CCCl)CCCl)NCCCO1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
CYCLOPHOSPHAMIDE,MK-2206,A2058,10.17270566,0.6658332,1515,1,1,0.999999404,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,A375,11.1214466,0.6677097,1516,1,1,0.998651803,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,ES2,-0.63112687,0.6444643,1518,0,0,0.284881234,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,HT29,-0.319208457,0.6450812,1521,0,1,0.999999762,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,LOVO,-11.15448584,0.6236502,1524,0,1,0.999956608,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,OV90,14.68176677,0.6747516,1526,1,1,0.999998927,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,RKO,27.22991066,0.6995705,1527,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-2206,VCAP,10.91622234,0.6673038,1530,1,1,0.998882592,O=P1(N(CCCl)CCCl)NCCCO1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CYCLOPHOSPHAMIDE,MK-4827,A375,-1.328121222,0.6430857,1531,0,0,0.005514685,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,A427,-10.7346263,0.6244806,1532,0,0,5.48E-10,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,ES2,-6.950321057,0.6319656,1533,0,0,0.008599979,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,HT144,-0.399138895,0.6449231,1534,0,0,0.031761862,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,LOVO,-13.74195139,0.6185324,1536,0,0,6.26E-09,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,NCIH2122,10.54513171,0.6665698,1538,1,1,0.997414947,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,NCIH23,-1.774150127,0.6422035,1539,0,0,9.51E-09,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,RPMI7951,-0.093818486,0.645527,1541,0,0,6.59E-05,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,SW837,-17.67207508,0.6107591,1543,0,0,0.497713864,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-4827,UACC62,-13.88910739,0.6182414,1545,0,0,4.37E-10,O=P1(N(CCCl)CCCl)NCCCO1,NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12
CYCLOPHOSPHAMIDE,MK-5108,A2780,-3.013528255,0.6397522,1547,0,0,5.59E-09,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,A375,14.29773779,0.673992,1548,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,LOVO,-7.056699596,0.6317552,1552,0,0,1.15E-05,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,RKO,29.25941015,0.7035847,1554,1,1,0.999999762,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,SW837,-0.863652702,0.6440044,1557,0,0,0.02492813,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,UACC62,15.62004561,0.6766074,1559,1,1,0.981152654,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-5108,VCAP,10.05525371,0.6656009,1560,1,1,0.796447814,O=P1(N(CCCl)CCCl)NCCCO1,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
CYCLOPHOSPHAMIDE,MK-8669,A2058,20.19732054,0.6856608,1561,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,A375,17.94121432,0.6811985,1562,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,A427,22.79309695,0.690795,1563,1,1,0.804689527,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,HCT116,16.84286997,0.6790261,1565,1,1,0.999979496,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,HT144,14.84866563,0.6750817,1566,1,1,0.97661227,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,NCIH1650,21.77249105,0.6887763,1569,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,NCIH520,15.49758778,0.6763652,1572,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,OV90,13.03210427,0.6714888,1573,1,1,0.999490976,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,RPMI7951,18.24907334,0.6818074,1575,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,SKMES1,19.99834965,0.6852673,1577,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,SW837,-2.190133483,0.6413807,1579,0,0,0.000904045,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,UACC62,15.97502402,0.6773095,1581,1,1,0.999983907,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8669,VCAP,24.77674304,0.6947184,1582,1,1,0.999999762,O=P1(N(CCCl)CCCl)NCCCO1,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
CYCLOPHOSPHAMIDE,MK-8776,A375,11.88780653,0.6692255,1584,1,1,0.656010628,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,A427,-6.499720942,0.6328568,1585,0,0,1.83E-05,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,HT144,11.41082125,0.668282,1587,1,1,0.996948779,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,HT29,-0.822583458,0.6440856,1588,0,0,1.20E-06,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,MDAMB436,-2.876242428,0.6400237,1591,0,0,0.015088507,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,NCIH1650,-10.65970238,0.6246288,1593,0,0,9.80E-06,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,NCIH2122,-10.50085667,0.624943,1594,0,0,0.094424516,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,NCIH23,-8.207760148,0.6294785,1595,0,0,6.07E-05,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,OV90,10.05522761,0.6656008,1596,1,0,0.018609906,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,RKO,10.07988182,0.6656496,1597,1,0,3.67E-05,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,SKMES1,-2.461228342,0.6408445,1598,0,0,0.235303268,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,SW837,-21.49748875,0.6031928,1600,0,0,1.64E-08,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,UACC62,10.79198192,0.667058,1602,1,0,0.000343195,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,MK-8776,VCAP,10.13071851,0.6657501,1603,1,1,0.999512196,O=P1(N(CCCl)CCCl)NCCCO1,Cn1cc(-c2cnn3c(N)c(Br)c(C4CCCNC4)nc23)cn1
CYCLOPHOSPHAMIDE,PD325901,A2058,-1.843010941,0.6420673,1605,0,0,0.002557348,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,A2780,-8.138271946,0.6296159,1606,0,0,0.479473472,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,A375,-2.150443052,0.6414592,1607,0,0,7.03E-06,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,A427,-9.961044534,0.6260107,1608,0,0,2.76E-09,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,ES2,-2.941958467,0.6398937,1610,0,0,7.07E-05,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,HT144,-7.782678188,0.6303193,1611,0,0,7.64E-05,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,LOVO,-3.885033928,0.6380284,1614,0,0,5.20E-07,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,MDAMB436,-5.376208327,0.635079,1615,0,0,2.45E-06,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,NCIH1650,-4.553468606,0.6367063,1617,0,0,1.65E-05,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,OV90,-12.2633658,0.6214569,1619,0,0,0.001011518,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,RKO,-0.263209169,0.645192,1620,0,1,0.999627113,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,RPMI7951,-6.574925791,0.6327081,1621,0,0,2.49E-08,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,SKMES1,-9.715853787,0.6264957,1623,0,0,3.77E-07,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,SW837,-0.182049361,0.6453525,1625,0,0,1.63E-09,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,UACC62,-9.330093025,0.6272586,1627,0,0,5.70E-07,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,PD325901,VCAP,10.42588205,0.6663339,1628,1,1,0.934632719,O=P1(N(CCCl)CCCl)NCCCO1,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
CYCLOPHOSPHAMIDE,SORAFENIB,A375,13.83847818,0.6730837,1630,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,HCT116,10.86632492,0.6672051,1631,1,1,0.999930263,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,LOVO,-3.301070463,0.6391834,1634,0,0,4.59E-23,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,NCIH520,11.90323897,0.669256,1636,1,1,1,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,RPMI7951,-0.163227251,0.6453898,1637,0,0,0.000515578,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,SKMES1,14.64098368,0.674671,1638,1,1,0.999999404,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,SW837,-0.966645188,0.6438007,1640,0,0,7.73E-12,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SORAFENIB,UACC62,-13.19055662,0.619623,1642,0,0,0.131565481,O=P1(N(CCCl)CCCl)NCCCO1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CYCLOPHOSPHAMIDE,SUNITINIB,HT144,-0.235016091,0.6452478,1644,0,1,0.99901402,O=P1(N(CCCl)CCCl)NCCCO1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
CYCLOPHOSPHAMIDE,SUNITINIB,NCIH2122,11.84407932,0.669139,1646,1,1,0.999990582,O=P1(N(CCCl)CCCl)NCCCO1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
CYCLOPHOSPHAMIDE,SUNITINIB,NCIH520,12.61371814,0.6706612,1647,1,1,0.999661803,O=P1(N(CCCl)CCCl)NCCCO1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
CYCLOPHOSPHAMIDE,SUNITINIB,RPMI7951,-2.108767604,0.6415417,1648,0,0,3.95E-14,O=P1(N(CCCl)CCCl)NCCCO1,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C
